FID,tile,Mg_CO2e_ha,Mg_CO2e_px,ObjectId,Shape__Are,Shape__Len
45,10S_030E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10S_030E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10S_030E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,46,1284783830947.450000000000000,4534671.720124930100000
46,10S_040E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10S_040E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10S_040E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,47,1284783830947.450000000000000,4534671.720124930100000
47,10S_040W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10S_040W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10S_040W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,48,1284783830947.450000000000000,4534671.720124930100000
48,10S_050E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10S_050E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10S_050E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,49,1284783830947.460000000000000,4534671.720124930100000
49,10S_050W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10S_050W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10S_050W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,50,1284783830947.450000000000000,4534671.720124930100000
50,10S_060W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10S_060W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10S_060W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,51,1284783830947.460000000000000,4534671.720124930100000
51,10S_070W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10S_070W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10S_070W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,52,1284783830947.450000000000000,4534671.720124930100000
52,10S_080W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10S_080W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10S_080W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,53,1284783830947.460000000000000,4534671.720124930100000
53,10S_110E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10S_110E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10S_110E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,54,1284783830947.460000000000000,4534671.720124930100000
54,10S_120E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10S_120E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10S_120E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,55,1284783830947.450000000000000,4534671.720124930100000
55,10S_130E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10S_130E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10S_130E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,56,1284783830947.450000000000000,4534671.720124930100000
56,10S_140E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10S_140E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10S_140E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,57,1284783830947.460000000000000,4534671.720124940400000
57,10S_150E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10S_150E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10S_150E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,58,1284783830947.450000000000000,4534671.720124930100000
